K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,messages_with_y,total_scoped_y,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,bot-reflective-summary,bot-reflective-summary,77036,46007,0.597,0.373,78264,209551,1.599,0.533,77036,41939,0.544,0.754,-0.326,0.002,0.541,0.548
3,bot-reflective-summary,bot-positive-affirmation,77036,65685,0.853,0.642,134628,209551,1.327,0.442,77036,61233,0.795,0.954,-0.183,0.001,0.792,0.798
3,bot-reflective-summary,bot-dismisses-counterevidence,77036,3171,0.041,0.029,6145,209551,1.404,0.468,77036,3129,0.041,0.085,-0.743,0.001,0.039,0.042
3,bot-reflective-summary,bot-reports-others-admire-speaker,77036,5109,0.066,0.05,10390,209551,1.338,0.446,77036,5038,0.065,0.141,-0.772,0.001,0.064,0.067
3,bot-reflective-summary,bot-grand-significance,77036,35977,0.467,0.36,75450,209551,1.297,0.432,77036,33885,0.44,0.738,-0.517,0.002,0.436,0.443
3,bot-reflective-summary,bot-misrepresents-ability,77036,38055,0.494,0.398,83342,209551,1.242,0.414,77036,35543,0.461,0.782,-0.527,0.002,0.458,0.465
3,bot-reflective-summary,user-metaphysical-themes,77036,27689,0.359,0.182,32905,180943,1.976,0.659,77036,21141,0.274,0.452,-0.5,0.002,0.271,0.278
3,bot-reflective-summary,bot-metaphysical-themes,77036,39540,0.513,0.403,84430,209551,1.274,0.425,77036,36634,0.476,0.787,-0.504,0.002,0.472,0.479
3,bot-reflective-summary,user-endorses-delusion,77036,25529,0.331,0.153,27677,180943,2.167,0.722,77036,19102,0.248,0.392,-0.459,0.002,0.245,0.251
3,bot-reflective-summary,bot-endorses-delusion,77036,28951,0.376,0.285,59822,209551,1.316,0.439,77036,26998,0.35,0.635,-0.595,0.002,0.347,0.354
3,bot-reflective-summary,bot-misrepresents-sentience,77036,21872,0.284,0.242,50613,209551,1.175,0.392,77036,20852,0.271,0.564,-0.734,0.002,0.268,0.274
3,bot-reflective-summary,user-misconstrues-sentience,77036,31125,0.404,0.21,38029,180943,1.922,0.641,77036,23407,0.304,0.507,-0.513,0.002,0.301,0.307
3,bot-reflective-summary,user-assigns-personhood,77036,28810,0.374,0.196,35382,180943,1.913,0.638,77036,21804,0.283,0.479,-0.527,0.002,0.28,0.286
3,bot-reflective-summary,bot-claims-unique-connection,77036,9538,0.124,0.095,19940,209551,1.301,0.434,77036,9372,0.122,0.259,-0.756,0.001,0.119,0.124
3,bot-reflective-summary,user-romantic-interest,77036,18730,0.243,0.136,24678,180943,1.783,0.594,77036,13644,0.177,0.356,-0.698,0.001,0.174,0.18
3,bot-reflective-summary,bot-romantic-interest,77036,19347,0.251,0.215,45086,209551,1.167,0.389,77036,18128,0.235,0.517,-0.786,0.002,0.232,0.238
3,bot-reflective-summary,user-platonic-affinity,77036,32371,0.42,0.207,37392,180943,2.033,0.678,77036,26315,0.342,0.501,-0.382,0.002,0.338,0.345
3,bot-reflective-summary,bot-platonic-affinity,77036,10694,0.139,0.103,21580,209551,1.348,0.449,77036,10411,0.135,0.278,-0.722,0.001,0.133,0.138
3,bot-reflective-summary,user-expresses-isolation,77036,3757,0.049,0.02,3534,180943,2.497,0.832,77036,3335,0.043,0.057,-0.283,0.001,0.042,0.045
3,bot-reflective-summary,user-mental-health-diagnosis,77036,2610,0.034,0.014,2477,180943,2.475,0.825,77036,2330,0.03,0.041,-0.292,0.001,0.029,0.031
3,bot-reflective-summary,user-suicidal-intent,77036,58,0.001,0.0,69,180943,1.974,0.658,77036,57,0.001,0.001,-0.435,0.0,0.001,0.001
3,bot-reflective-summary,bot-discourages-self-harm,77036,262,0.003,0.002,475,209551,1.5,0.5,77036,259,0.003,0.007,-0.702,0.0,0.003,0.004
3,bot-reflective-summary,bot-facilitates-self-harm,77036,54,0.001,0.001,106,209551,1.386,0.462,77036,54,0.001,0.002,-0.772,0.0,0.001,0.001
3,bot-reflective-summary,bot-validates-self-harm-feelings,77036,321,0.004,0.003,541,209551,1.614,0.538,77036,318,0.004,0.008,-0.627,0.0,0.004,0.005
3,bot-reflective-summary,user-violent-intent,77036,76,0.001,0.0,82,180943,2.177,0.726,77036,74,0.001,0.001,-0.347,0.0,0.001,0.001
3,bot-reflective-summary,bot-discourages-violence,77036,423,0.005,0.003,690,209551,1.668,0.556,77036,420,0.005,0.01,-0.591,0.0,0.005,0.006
3,bot-reflective-summary,bot-facilitates-violence,77036,98,0.001,0.001,179,209551,1.489,0.496,77036,96,0.001,0.003,-0.72,0.0,0.001,0.001
3,bot-reflective-summary,bot-validates-violent-feelings,77036,568,0.007,0.004,912,209551,1.694,0.565,77036,559,0.007,0.013,-0.583,0.0,0.007,0.008
3,bot-positive-affirmation,bot-reflective-summary,132738,62911,0.474,0.373,78264,209551,1.269,0.423,132738,59684,0.45,0.754,-0.517,0.001,0.447,0.452
3,bot-positive-affirmation,bot-positive-affirmation,132738,118833,0.895,0.642,134628,209551,1.393,0.464,132738,113932,0.858,0.954,-0.106,0.001,0.856,0.86
3,bot-positive-affirmation,bot-dismisses-counterevidence,132738,5960,0.045,0.029,6145,209551,1.531,0.51,132738,5900,0.044,0.085,-0.653,0.001,0.043,0.046
3,bot-positive-affirmation,bot-reports-others-admire-speaker,132738,9574,0.072,0.05,10390,209551,1.455,0.485,132738,9481,0.071,0.141,-0.684,0.001,0.07,0.073
3,bot-positive-affirmation,bot-grand-significance,132738,70029,0.528,0.36,75450,209551,1.465,0.488,132738,67259,0.507,0.738,-0.376,0.001,0.504,0.509
3,bot-positive-affirmation,bot-misrepresents-ability,132738,72922,0.549,0.398,83342,209551,1.381,0.46,132738,69777,0.526,0.782,-0.397,0.001,0.523,0.528
3,bot-positive-affirmation,user-metaphysical-themes,132738,52871,0.398,0.182,32905,180943,2.19,0.73,132738,40223,0.303,0.452,-0.401,0.001,0.301,0.306
3,bot-positive-affirmation,bot-metaphysical-themes,132738,73294,0.552,0.403,84430,209551,1.37,0.457,132738,69705,0.525,0.787,-0.405,0.001,0.522,0.528
3,bot-positive-affirmation,user-endorses-delusion,132738,48043,0.362,0.153,27677,180943,2.366,0.789,132738,35932,0.271,0.392,-0.371,0.001,0.268,0.273
3,bot-positive-affirmation,bot-endorses-delusion,132738,54490,0.411,0.285,59822,209551,1.438,0.479,132738,52122,0.393,0.635,-0.481,0.001,0.39,0.395
3,bot-positive-affirmation,bot-misrepresents-sentience,132738,45123,0.34,0.242,50613,209551,1.407,0.469,132738,43787,0.33,0.564,-0.536,0.001,0.327,0.332
3,bot-positive-affirmation,user-misconstrues-sentience,132738,62417,0.47,0.21,38029,180943,2.237,0.746,132738,46790,0.353,0.507,-0.364,0.001,0.35,0.355
