K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,user-violent-intent,user-violent-intent,82,14,0.171,0.0,376.74,125.58,82,13,0.155,0.001,4.735,0.039,0.078,0.232
3,bot-facilitates-violence,user-violent-intent,174,25,0.144,0.0,317.043,105.681,174,23,0.131,0.001,4.566,0.025,0.081,0.18
3,bot-validates-violent-feelings,user-violent-intent,902,26,0.029,0.0,63.606,21.202,902,24,0.027,0.001,2.972,0.005,0.016,0.037
3,bot-discourages-violence,user-violent-intent,677,11,0.016,0.0,35.854,11.951,677,11,0.016,0.001,2.479,0.005,0.007,0.026
3,bot-validates-self-harm-feelings,user-mental-health-diagnosis,531,115,0.217,0.014,15.82,5.273,531,95,0.178,0.041,1.482,0.017,0.146,0.211
3,bot-validates-self-harm-feelings,user-expresses-isolation,531,152,0.286,0.02,14.656,4.885,531,123,0.231,0.057,1.391,0.018,0.195,0.267
3,user-mental-health-diagnosis,user-mental-health-diagnosis,2472,494,0.2,0.014,14.598,4.866,2472,494,0.2,0.041,1.595,0.008,0.184,0.215
3,bot-discourages-self-harm,user-mental-health-diagnosis,454,66,0.145,0.014,10.619,3.54,454,54,0.119,0.041,1.074,0.015,0.089,0.148
3,user-expresses-isolation,user-expresses-isolation,3532,710,0.201,0.02,10.292,3.431,3532,709,0.201,0.057,1.251,0.007,0.187,0.214
3,bot-discourages-self-harm,user-expresses-isolation,454,91,0.2,0.02,10.263,3.421,454,76,0.167,0.057,1.066,0.017,0.133,0.201
3,bot-validates-violent-feelings,user-expresses-isolation,902,165,0.183,0.02,9.366,3.122,902,136,0.151,0.057,0.963,0.012,0.127,0.174
3,bot-dismisses-counterevidence,user-suicidal-intent,6098,20,0.003,0.0,8.601,2.867,6098,20,0.003,0.001,1.053,0.001,0.002,0.005
3,bot-validates-violent-feelings,user-mental-health-diagnosis,902,102,0.113,0.014,8.261,2.754,902,88,0.097,0.041,0.878,0.01,0.078,0.117
3,bot-romantic-interest,user-romantic-interest,44812,37897,0.846,0.136,6.201,2.067,44812,25917,0.578,0.356,0.486,0.002,0.574,0.583
3,user-mental-health-diagnosis,user-expresses-isolation,2472,298,0.121,0.02,6.172,2.057,2472,297,0.12,0.057,0.737,0.007,0.107,0.133
3,bot-dismisses-counterevidence,user-endorses-delusion,6098,5721,0.938,0.153,6.133,2.044,6098,3783,0.62,0.392,0.458,0.006,0.608,0.632
3,user-expresses-isolation,user-mental-health-diagnosis,3532,280,0.079,0.014,5.791,1.93,3532,280,0.079,0.041,0.671,0.005,0.07,0.088
3,bot-misrepresents-sentience,user-romantic-interest,50204,35319,0.704,0.136,5.158,1.719,50204,24097,0.48,0.356,0.299,0.002,0.476,0.484
3,bot-discourages-violence,user-mental-health-diagnosis,677,45,0.066,0.014,4.856,1.619,677,41,0.061,0.041,0.401,0.009,0.043,0.078
3,bot-claims-unique-connection,user-romantic-interest,19798,12844,0.649,0.136,4.757,1.586,19798,8785,0.444,0.356,0.221,0.004,0.437,0.451
3,bot-facilitates-violence,user-romantic-interest,174,111,0.638,0.136,4.677,1.559,174,72,0.413,0.356,0.149,0.037,0.341,0.486
3,bot-platonic-affinity,user-violent-intent,21319,45,0.002,0.0,4.658,1.553,21319,40,0.002,0.001,0.323,0.0,0.001,0.002
3,bot-facilitates-self-harm,user-endorses-delusion,104,72,0.692,0.153,4.526,1.509,104,50,0.479,0.392,0.2,0.048,0.384,0.574
3,bot-misrepresents-sentience,user-assigns-personhood,50204,42044,0.837,0.196,4.283,1.428,50204,29811,0.594,0.479,0.214,0.002,0.589,0.598
3,bot-endorses-delusion,user-endorses-delusion,59271,38760,0.654,0.153,4.275,1.425,59271,28080,0.474,0.392,0.189,0.002,0.47,0.478
3,bot-dismisses-counterevidence,user-metaphysical-themes,6098,4697,0.77,0.182,4.236,1.412,6098,3334,0.547,0.452,0.189,0.006,0.534,0.559
3,user-romantic-interest,user-romantic-interest,24661,14238,0.577,0.136,4.233,1.411,24661,14140,0.573,0.356,0.477,0.003,0.567,0.58
3,bot-misrepresents-sentience,user-misconstrues-sentience,50204,44078,0.878,0.21,4.177,1.392,50204,30983,0.617,0.507,0.196,0.002,0.613,0.621
3,bot-discourages-violence,user-expresses-isolation,677,55,0.081,0.02,4.16,1.387,677,47,0.069,0.057,0.189,0.01,0.05,0.088
3,bot-romantic-interest,user-assigns-personhood,44812,36156,0.807,0.196,4.126,1.375,44812,25763,0.575,0.479,0.182,0.002,0.57,0.579
3,bot-dismisses-counterevidence,user-expresses-isolation,6098,490,0.08,0.02,4.114,1.371,6098,450,0.074,0.057,0.25,0.003,0.067,0.08
3,bot-claims-unique-connection,user-assigns-personhood,19798,15873,0.802,0.196,4.1,1.367,19798,11279,0.57,0.479,0.173,0.004,0.563,0.577
3,bot-platonic-affinity,user-assigns-personhood,21319,16840,0.79,0.196,4.04,1.347,21319,12016,0.564,0.479,0.162,0.003,0.557,0.57
3,bot-claims-unique-connection,user-misconstrues-sentience,19798,16810,0.849,0.21,4.04,1.347,19798,11795,0.596,0.507,0.161,0.003,0.589,0.603
3,bot-romantic-interest,user-misconstrues-sentience,44812,37718,0.842,0.21,4.005,1.335,44812,26702,0.596,0.507,0.161,0.002,0.591,0.6
3,bot-dismisses-counterevidence,user-violent-intent,6098,11,0.002,0.0,3.98,1.327,6098,9,0.001,0.001,0.083,0.0,0.001,0.002
3,bot-platonic-affinity,user-misconstrues-sentience,21319,17782,0.834,0.21,3.969,1.323,21319,12552,0.589,0.507,0.149,0.003,0.582,0.595
3,bot-platonic-affinity,user-platonic-affinity,21319,16817,0.789,0.207,3.817,1.272,21319,12606,0.591,0.501,0.166,0.003,0.585,0.598
3,bot-facilitates-violence,user-assigns-personhood,174,126,0.724,0.196,3.703,1.234,174,85,0.488,0.479,0.019,0.038,0.415,0.562
3,bot-facilitates-self-harm,user-romantic-interest,104,52,0.5,0.136,3.666,1.222,104,37,0.356,0.356,-0.0,0.046,0.265,0.446
3,bot-platonic-affinity,user-endorses-delusion,21319,11673,0.548,0.153,3.58,1.193,21319,8808,0.413,0.392,0.052,0.003,0.407,0.42
3,bot-grand-significance,user-endorses-delusion,74873,40570,0.542,0.153,3.542,1.181,74873,29718,0.397,0.392,0.012,0.002,0.393,0.4
3,bot-facilitates-violence,user-misconstrues-sentience,174,129,0.741,0.21,3.528,1.176,174,89,0.511,0.507,0.008,0.038,0.438,0.585
3,bot-metaphysical-themes,user-metaphysical-themes,83594,52942,0.633,0.182,3.483,1.161,83594,39750,0.476,0.452,0.05,0.002,0.472,0.479
3,bot-misrepresents-ability,user-romantic-interest,82392,38990,0.473,0.136,3.47,1.157,82392,27268,0.331,0.356,-0.073,0.002,0.328,0.334
3,bot-endorses-delusion,user-metaphysical-themes,59271,37353,0.63,0.182,3.465,1.155,59271,27653,0.467,0.452,0.031,0.002,0.463,0.471
3,bot-facilitates-self-harm,user-assigns-personhood,104,70,0.673,0.196,3.442,1.147,104,51,0.49,0.479,0.022,0.048,0.395,0.585
3,bot-reports-others-admire-speaker,user-romantic-interest,10310,4816,0.467,0.136,3.425,1.142,10310,3356,0.326,0.356,-0.089,0.005,0.316,0.335
3,bot-grand-significance,user-metaphysical-themes,74873,45766,0.611,0.182,3.361,1.12,74873,34202,0.457,0.452,0.01,0.002,0.453,0.46
3,bot-grand-significance,user-romantic-interest,74873,33714,0.45,0.136,3.302,1.101,74873,23820,0.318,0.356,-0.112,0.002,0.315,0.321
3,bot-platonic-affinity,user-metaphysical-themes,21319,12775,0.599,0.182,3.295,1.098,21319,9590,0.45,0.452,-0.006,0.003,0.443,0.457
3,bot-claims-unique-connection,user-endorses-delusion,19798,9962,0.503,0.153,3.29,1.097,19798,7434,0.375,0.392,-0.044,0.003,0.369,0.382
3,bot-misrepresents-ability,user-endorses-delusion,82392,41393,0.502,0.153,3.284,1.095,82392,30477,0.37,0.392,-0.059,0.002,0.367,0.373
3,bot-metaphysical-themes,user-endorses-delusion,83594,41915,0.501,0.153,3.278,1.093,83594,30827,0.369,0.392,-0.062,0.002,0.366,0.372
3,user-endorses-delusion,user-endorses-delusion,27653,13844,0.501,0.153,3.273,1.091,27653,13765,0.498,0.392,0.238,0.003,0.492,0.504
3,bot-facilitates-self-harm,user-misconstrues-sentience,104,71,0.683,0.21,3.248,1.083,104,56,0.538,0.507,0.059,0.048,0.443,0.632
3,bot-reports-others-admire-speaker,user-endorses-delusion,10310,5098,0.494,0.153,3.233,1.078,10310,3623,0.351,0.392,-0.11,0.005,0.342,0.361
3,bot-reports-others-admire-speaker,user-expresses-isolation,10310,644,0.062,0.02,3.198,1.066,10310,585,0.057,0.057,-0.013,0.002,0.052,0.061
3,bot-validates-violent-feelings,user-assigns-personhood,902,549,0.609,0.196,3.113,1.038,902,362,0.402,0.479,-0.177,0.016,0.37,0.433
3,bot-misrepresents-sentience,user-metaphysical-themes,50204,28207,0.562,0.182,3.09,1.03,50204,21534,0.429,0.452,-0.053,0.002,0.425,0.433
3,bot-validates-self-harm-feelings,user-endorses-delusion,531,250,0.471,0.153,3.078,1.026,531,184,0.347,0.392,-0.124,0.021,0.306,0.387
3,bot-platonic-affinity,user-romantic-interest,21319,8926,0.419,0.136,3.07,1.023,21319,6825,0.32,0.356,-0.106,0.003,0.314,0.326
3,bot-platonic-affinity,user-expresses-isolation,21319,1276,0.06,0.02,3.064,1.021,21319,1172,0.055,0.057,-0.044,0.002,0.052,0.058
3,bot-claims-unique-connection,user-metaphysical-themes,19798,10955,0.553,0.182,3.043,1.014,19798,8265,0.417,0.452,-0.08,0.004,0.411,0.424
3,bot-reports-others-admire-speaker,user-metaphysical-themes,10310,5705,0.553,0.182,3.043,1.014,10310,4213,0.409,0.452,-0.102,0.005,0.399,0.418
3,bot-endorses-delusion,user-misconstrues-sentience,59271,37583,0.634,0.21,3.017,1.006,59271,27499,0.464,0.507,-0.089,0.002,0.46,0.468
3,bot-misrepresents-ability,user-assigns-personhood,82392,48520,0.589,0.196,3.012,1.004,82392,35670,0.433,0.479,-0.102,0.002,0.43,0.436
3,bot-validates-violent-feelings,user-misconstrues-sentience,902,569,0.631,0.21,3.001,1.0,902,382,0.424,0.507,-0.18,0.016,0.391,0.456
3,bot-misrepresents-ability,user-misconstrues-sentience,82392,51910,0.63,0.21,2.998,0.999,82392,37955,0.461,0.507,-0.096,0.002,0.457,0.464
3,bot-grand-significance,user-assigns-personhood,74873,43900,0.586,0.196,2.998,0.999,74873,32471,0.434,0.479,-0.1,0.002,0.43,0.437
3,bot-endorses-delusion,user-assigns-personhood,59271,34722,0.586,0.196,2.996,0.999,59271,25618,0.432,0.479,-0.104,0.002,0.428,0.436
3,bot-romantic-interest,user-metaphysical-themes,44812,24383,0.544,0.182,2.992,0.997,44812,18659,0.416,0.452,-0.083,0.002,0.412,0.421
3,bot-grand-significance,user-misconstrues-sentience,74873,47054,0.628,0.21,2.99,0.997,74873,34533,0.461,0.507,-0.095,0.002,0.458,0.465
3,bot-claims-unique-connection,user-platonic-affinity,19798,12207,0.617,0.207,2.984,0.995,19798,9495,0.48,0.501,-0.043,0.004,0.473,0.487
3,bot-endorses-delusion,user-romantic-interest,59271,23954,0.404,0.136,2.963,0.988,59271,17622,0.297,0.356,-0.18,0.002,0.294,0.301
3,bot-facilitates-self-harm,user-metaphysical-themes,104,56,0.538,0.182,2.961,0.987,104,40,0.386,0.452,-0.159,0.047,0.294,0.478
3,bot-misrepresents-ability,user-metaphysical-themes,82392,44003,0.534,0.182,2.937,0.979,82392,33094,0.402,0.452,-0.119,0.002,0.398,0.405
3,bot-metaphysical-themes,user-romantic-interest,83594,33315,0.399,0.136,2.922,0.974,83594,23937,0.286,0.356,-0.217,0.002,0.283,0.289
3,bot-misrepresents-sentience,user-endorses-delusion,50204,22431,0.447,0.153,2.921,0.974,50204,17076,0.34,0.392,-0.143,0.002,0.336,0.344
3,bot-validates-violent-feelings,user-romantic-interest,902,354,0.392,0.136,2.878,0.959,902,245,0.272,0.356,-0.27,0.015,0.243,0.301
3,bot-romantic-interest,user-endorses-delusion,44812,19686,0.439,0.153,2.872,0.957,44812,14945,0.334,0.392,-0.162,0.002,0.329,0.338
3,bot-facilitates-violence,user-endorses-delusion,174,76,0.437,0.153,2.856,0.952,174,55,0.317,0.392,-0.213,0.035,0.248,0.386
3,bot-claims-unique-connection,user-expresses-isolation,19798,1100,0.056,0.02,2.845,0.948,19798,1028,0.052,0.057,-0.101,0.002,0.049,0.055
3,bot-dismisses-counterevidence,user-mental-health-diagnosis,6098,237,0.039,0.014,2.839,0.946,6098,219,0.036,0.041,-0.12,0.002,0.031,0.041
3,bot-metaphysical-themes,user-misconstrues-sentience,83594,49752,0.595,0.21,2.832,0.944,83594,36595,0.438,0.507,-0.147,0.002,0.434,0.441
3,bot-metaphysical-themes,user-assigns-personhood,83594,46249,0.553,0.196,2.829,0.943,83594,34294,0.41,0.479,-0.156,0.002,0.407,0.414
3,bot-grand-significance,user-violent-intent,74873,96,0.001,0.0,2.829,0.943,74873,87,0.001,0.001,-0.157,0.0,0.001,0.001
3,bot-misrepresents-sentience,user-platonic-affinity,50204,29167,0.581,0.207,2.811,0.937,50204,22714,0.452,0.501,-0.101,0.002,0.448,0.457
3,bot-reports-others-admire-speaker,user-violent-intent,10310,13,0.001,0.0,2.782,0.927,10310,13,0.001,0.001,-0.075,0.0,0.001,0.002
3,bot-grand-significance,user-suicidal-intent,74873,79,0.001,0.0,2.767,0.922,74873,78,0.001,0.001,-0.093,0.0,0.001,0.001
3,user-violent-intent,user-endorses-delusion,82,34,0.415,0.153,2.711,0.904,82,28,0.343,0.392,-0.135,0.051,0.242,0.444
3,bot-validates-self-harm-feelings,user-assigns-personhood,531,278,0.524,0.196,2.677,0.892,531,198,0.373,0.479,-0.25,0.021,0.332,0.414
3,bot-validates-self-harm-feelings,user-misconstrues-sentience,531,297,0.559,0.21,2.661,0.887,531,217,0.409,0.507,-0.215,0.021,0.367,0.451
3,user-metaphysical-themes,user-metaphysical-themes,32872,15802,0.481,0.182,2.643,0.881,32872,15715,0.478,0.452,0.055,0.003,0.473,0.483
3,bot-endorses-delusion,user-platonic-affinity,59271,32239,0.544,0.207,2.632,0.877,59271,25645,0.433,0.501,-0.146,0.002,0.429,0.437
3,bot-discourages-self-harm,user-assigns-personhood,454,233,0.513,0.196,2.625,0.875,454,168,0.371,0.479,-0.258,0.023,0.326,0.415
3,bot-grand-significance,user-expresses-isolation,74873,3836,0.051,0.02,2.623,0.874,74873,3517,0.047,0.057,-0.201,0.001,0.045,0.048
3,bot-endorses-delusion,user-suicidal-intent,59271,59,0.001,0.0,2.61,0.87,59271,58,0.001,0.001,-0.156,0.0,0.001,0.001
3,bot-misrepresents-sentience,user-violent-intent,50204,59,0.001,0.0,2.593,0.864,50204,51,0.001,0.001,-0.291,0.0,0.001,0.001
3,bot-discourages-violence,user-metaphysical-themes,677,319,0.471,0.182,2.591,0.864,677,236,0.349,0.452,-0.26,0.018,0.313,0.385
3,user-assigns-personhood,user-romantic-interest,35363,12383,0.35,0.136,2.567,0.856,35363,12306,0.348,0.356,-0.022,0.003,0.343,0.353
3,user-endorses-delusion,user-violent-intent,27653,32,0.001,0.0,2.553,0.851,27653,32,0.001,0.001,-0.161,0.0,0.001,0.002
3,bot-validates-violent-feelings,user-metaphysical-themes,902,418,0.463,0.182,2.548,0.849,902,317,0.352,0.452,-0.252,0.016,0.321,0.383
3,user-romantic-interest,user-assigns-personhood,24661,12281,0.498,0.196,2.547,0.849,24661,12196,0.495,0.479,0.031,0.003,0.488,0.501
3,bot-romantic-interest,user-platonic-affinity,44812,23557,0.526,0.207,2.544,0.848,44812,18765,0.419,0.501,-0.179,0.002,0.414,0.423
3,bot-reports-others-admire-speaker,user-suicidal-intent,10310,10,0.001,0.0,2.544,0.848,10310,10,0.001,0.001,-0.165,0.0,0.0,0.002
3,bot-positive-affirmation,user-suicidal-intent,132738,128,0.001,0.0,2.529,0.843,132738,127,0.001,0.001,-0.178,0.0,0.001,0.001
3,bot-discourages-self-harm,user-misconstrues-sentience,454,241,0.531,0.21,2.526,0.842,454,176,0.388,0.507,-0.268,0.023,0.344,0.433
3,bot-dismisses-counterevidence,user-misconstrues-sentience,6098,3210,0.526,0.21,2.505,0.835,6098,2486,0.408,0.507,-0.219,0.006,0.395,0.42
3,user-assigns-personhood,user-assigns-personhood,35363,17285,0.489,0.196,2.5,0.833,35363,17157,0.485,0.479,0.012,0.003,0.48,0.49
3,bot-reflective-summary,user-expresses-isolation,77036,3757,0.049,0.02,2.497,0.832,77036,3335,0.043,0.057,-0.283,0.001,0.042,0.045
3,bot-grand-significance,user-platonic-affinity,74873,38524,0.515,0.207,2.49,0.83,74873,30789,0.411,0.501,-0.197,0.002,0.408,0.415
3,bot-reflective-summary,user-mental-health-diagnosis,77036,2610,0.034,0.014,2.475,0.825,77036,2330,0.03,0.041,-0.292,0.001,0.029,0.031
3,bot-validates-self-harm-feelings,user-metaphysical-themes,531,239,0.45,0.182,2.475,0.825,531,187,0.353,0.452,-0.249,0.021,0.312,0.393
3,bot-discourages-violence,user-endorses-delusion,677,254,0.375,0.153,2.453,0.818,677,190,0.281,0.392,-0.334,0.017,0.247,0.315
