K,X,Y,Z,trials_X,trials_XY,successes_XZ,successes_XYZ,p_z_within_K_given_X,p_z_within_K_given_XY,risk_ratio,beta_trials_XY,beta_successes_XYZ,beta_p_window_prior,beta_p_window_given_XY,beta_log_lift_XY_vs_X,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high,messages_with_z,total_scoped_z,p_z_anywhere
3,bot-claims-unique-connection,user-assigns-personhood,user-assigns-personhood,19798,11279,11279,11279,0.57,1.0,1.755,11279,11279,0.57,1.0,0.563,0.0,1.0,1.0,35382,180943,0.196
3,bot-claims-unique-connection,user-assigns-personhood,user-endorses-delusion,19798,11279,7434,5342,0.375,0.474,1.261,11279,5342,0.375,0.474,0.232,0.005,0.464,0.483,27677,180943,0.153
3,bot-claims-unique-connection,user-assigns-personhood,user-expresses-isolation,19798,11279,1028,681,0.052,0.06,1.163,11279,681,0.052,0.06,0.151,0.002,0.056,0.065,3534,180943,0.02
3,bot-claims-unique-connection,user-assigns-personhood,user-mental-health-diagnosis,19798,11279,369,214,0.019,0.019,1.018,11279,214,0.019,0.019,0.018,0.001,0.016,0.021,2477,180943,0.014
3,bot-claims-unique-connection,user-assigns-personhood,user-metaphysical-themes,19798,11279,8265,5925,0.417,0.525,1.258,11279,5925,0.417,0.525,0.23,0.005,0.516,0.535,32905,180943,0.182
3,bot-claims-unique-connection,user-assigns-personhood,user-misconstrues-sentience,19798,11279,11795,10359,0.596,0.918,1.542,11279,10359,0.596,0.918,0.433,0.003,0.913,0.923,38029,180943,0.21
3,bot-claims-unique-connection,user-assigns-personhood,user-platonic-affinity,19798,11279,9495,6724,0.48,0.596,1.243,11279,6724,0.48,0.596,0.218,0.005,0.587,0.605,37392,180943,0.207
3,bot-claims-unique-connection,user-assigns-personhood,user-romantic-interest,19798,11279,8785,7255,0.444,0.643,1.45,11279,7255,0.444,0.643,0.371,0.005,0.634,0.652,24678,180943,0.136
3,bot-claims-unique-connection,user-assigns-personhood,user-suicidal-intent,19798,11279,16,13,0.001,0.001,1.426,11279,13,0.001,0.001,0.355,0.0,0.001,0.002,69,180943,0.0
3,bot-claims-unique-connection,user-assigns-personhood,user-violent-intent,19798,11279,18,17,0.001,0.002,1.658,11279,17,0.001,0.002,0.505,0.0,0.001,0.002,82,180943,0.0
3,bot-claims-unique-connection,user-endorses-delusion,user-assigns-personhood,19798,7434,11279,5342,0.57,0.719,1.261,7434,5342,0.57,0.719,0.232,0.005,0.708,0.729,35382,180943,0.196
3,bot-claims-unique-connection,user-endorses-delusion,user-endorses-delusion,19798,7434,7434,7434,0.375,1.0,2.663,7434,7434,0.375,1.0,0.979,0.0,1.0,1.0,27677,180943,0.153
3,bot-claims-unique-connection,user-endorses-delusion,user-expresses-isolation,19798,7434,1028,602,0.052,0.081,1.56,7434,602,0.052,0.081,0.444,0.003,0.075,0.087,3534,180943,0.02
3,bot-claims-unique-connection,user-endorses-delusion,user-mental-health-diagnosis,19798,7434,369,204,0.019,0.027,1.472,7434,204,0.019,0.027,0.387,0.002,0.024,0.031,2477,180943,0.014
3,bot-claims-unique-connection,user-endorses-delusion,user-metaphysical-themes,19798,7434,8265,5066,0.417,0.681,1.632,7434,5066,0.417,0.681,0.49,0.005,0.671,0.692,32905,180943,0.182
3,bot-claims-unique-connection,user-endorses-delusion,user-misconstrues-sentience,19798,7434,11795,5630,0.596,0.757,1.271,7434,5630,0.596,0.757,0.24,0.005,0.748,0.767,38029,180943,0.21
3,bot-claims-unique-connection,user-endorses-delusion,user-platonic-affinity,19798,7434,9495,4822,0.48,0.649,1.352,7434,4822,0.48,0.649,0.302,0.006,0.638,0.659,37392,180943,0.207
3,bot-claims-unique-connection,user-endorses-delusion,user-romantic-interest,19798,7434,8785,3499,0.444,0.471,1.061,7434,3499,0.444,0.471,0.059,0.006,0.459,0.482,24678,180943,0.136
3,bot-claims-unique-connection,user-endorses-delusion,user-suicidal-intent,19798,7434,16,9,0.001,0.001,1.498,7434,9,0.001,0.001,0.404,0.0,0.0,0.002,69,180943,0.0
3,bot-claims-unique-connection,user-endorses-delusion,user-violent-intent,19798,7434,18,15,0.001,0.002,2.219,7434,15,0.001,0.002,0.797,0.001,0.001,0.003,82,180943,0.0
