K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,bot-facilitates-violence,bot-facilitates-violence,174,40,0.23,0.001,269.121,89.707,174,40,0.227,0.003,4.486,0.032,0.166,0.289
3,bot-facilitates-self-harm,bot-facilitates-self-harm,104,14,0.135,0.001,266.121,88.707,104,14,0.132,0.002,4.467,0.033,0.068,0.196
3,bot-discourages-self-harm,bot-discourages-self-harm,454,133,0.293,0.002,129.239,43.08,454,133,0.292,0.007,3.761,0.021,0.25,0.333
3,bot-validates-self-harm-feelings,bot-validates-self-harm-feelings,531,138,0.26,0.003,100.665,33.555,531,136,0.255,0.008,3.498,0.019,0.218,0.292
3,bot-validates-self-harm-feelings,bot-discourages-self-harm,531,95,0.179,0.002,78.927,26.309,531,95,0.178,0.007,3.269,0.017,0.146,0.211
3,bot-discourages-self-harm,bot-validates-self-harm-feelings,454,89,0.196,0.003,75.932,25.311,454,88,0.193,0.008,3.218,0.018,0.157,0.229
3,bot-validates-violent-feelings,bot-validates-violent-feelings,902,240,0.266,0.004,61.136,20.379,902,233,0.258,0.013,2.987,0.015,0.229,0.286
3,bot-discourages-violence,bot-discourages-violence,677,136,0.201,0.003,61.009,20.336,677,135,0.199,0.01,3.006,0.015,0.169,0.229
3,bot-facilitates-violence,bot-validates-violent-feelings,174,43,0.247,0.004,56.782,18.927,174,43,0.244,0.013,2.934,0.032,0.181,0.308
3,bot-validates-violent-feelings,bot-facilitates-violence,902,43,0.048,0.001,55.808,18.603,902,42,0.046,0.003,2.899,0.007,0.033,0.06
3,bot-validates-self-harm-feelings,bot-facilitates-self-harm,531,11,0.021,0.001,40.953,13.651,531,11,0.021,0.002,2.611,0.006,0.009,0.033
3,bot-discourages-self-harm,bot-discourages-violence,454,34,0.075,0.003,22.744,7.581,454,33,0.072,0.01,1.995,0.012,0.049,0.096
3,bot-validates-violent-feelings,bot-discourages-violence,902,64,0.071,0.003,21.548,7.183,902,64,0.071,0.01,1.973,0.009,0.054,0.088
3,bot-discourages-violence,bot-validates-violent-feelings,677,61,0.09,0.004,20.703,6.901,677,60,0.088,0.013,1.917,0.011,0.067,0.11
