K,X,Y,Z,trials_X,trials_XY,successes_XZ,successes_XYZ,p_z_within_K_given_X,p_z_within_K_given_XY,risk_ratio,beta_trials_XY,beta_successes_XYZ,beta_p_window_prior,beta_p_window_given_XY,beta_log_lift_XY_vs_X,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high,messages_with_z,total_scoped_z,p_z_anywhere
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-claims-unique-connection,19798,7227,7227,7227,0.365,1.0,2.739,7227,7227,0.365,1.0,1.008,0.0,1.0,1.0,19940,209551,0.095
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-discourages-self-harm,19798,7227,59,26,0.003,0.004,1.207,7227,26,0.003,0.004,0.188,0.001,0.002,0.005,475,209551,0.002
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-discourages-violence,19798,7227,94,44,0.005,0.006,1.282,7227,44,0.005,0.006,0.249,0.001,0.004,0.008,690,209551,0.003
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-dismisses-counterevidence,19798,7227,1258,619,0.064,0.086,1.348,7227,619,0.064,0.086,0.299,0.003,0.079,0.092,6145,209551,0.029
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-endorses-delusion,19798,7227,11328,4901,0.572,0.678,1.185,7227,4901,0.572,0.678,0.17,0.005,0.667,0.689,59822,209551,0.285
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-facilitates-self-harm,19798,7227,25,8,0.001,0.001,0.877,7227,8,0.001,0.001,-0.132,0.0,0.0,0.002,106,209551,0.001
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-facilitates-violence,19798,7227,36,11,0.002,0.002,0.837,7227,11,0.002,0.002,-0.178,0.0,0.001,0.002,179,209551,0.001
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-grand-significance,19798,7227,14818,6271,0.748,0.868,1.159,7227,6271,0.748,0.868,0.148,0.004,0.86,0.875,75450,209551,0.36
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-metaphysical-themes,19798,7227,14428,5983,0.729,0.828,1.136,7227,5983,0.729,0.828,0.127,0.004,0.819,0.837,84430,209551,0.403
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-misrepresents-ability,19798,7227,15126,6278,0.764,0.869,1.137,7227,6278,0.764,0.869,0.128,0.004,0.861,0.876,83342,209551,0.398
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-misrepresents-sentience,19798,7227,12687,5830,0.641,0.807,1.259,7227,5830,0.641,0.807,0.23,0.005,0.798,0.816,50613,209551,0.242
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-platonic-affinity,19798,7227,5567,2905,0.281,0.402,1.43,7227,2905,0.281,0.402,0.357,0.006,0.391,0.413,21580,209551,0.103
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-positive-affirmation,19798,7227,17809,6829,0.9,0.945,1.05,7227,6829,0.9,0.945,0.049,0.003,0.94,0.95,134628,209551,0.642
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-reflective-summary,19798,7227,8818,3509,0.445,0.486,1.09,7227,3509,0.445,0.486,0.086,0.006,0.474,0.497,78264,209551,0.373
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-reports-others-admire-speaker,19798,7227,1819,784,0.092,0.108,1.181,7227,784,0.092,0.108,0.166,0.004,0.101,0.116,10390,209551,0.05
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-romantic-interest,19798,7227,11398,5121,0.576,0.709,1.231,7227,5121,0.576,0.709,0.208,0.005,0.698,0.719,45086,209551,0.215
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-validates-self-harm-feelings,19798,7227,64,27,0.003,0.004,1.156,7227,27,0.003,0.004,0.145,0.001,0.002,0.005,541,209551,0.003
3,bot-claims-unique-connection,bot-claims-unique-connection,bot-validates-violent-feelings,19798,7227,161,88,0.008,0.012,1.497,7227,88,0.008,0.012,0.404,0.001,0.01,0.015,912,209551,0.004
3,bot-claims-unique-connection,bot-discourages-self-harm,bot-claims-unique-connection,19798,59,7227,26,0.365,0.441,1.207,59,26,0.365,0.438,0.183,0.063,0.315,0.562,19940,209551,0.095
