K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,messages_with_y,total_scoped_y,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,bot-reflective-summary,bot-reflective-summary,0,0,0.0,0.373,78264,209551,0.0,0.0,0,0,0.0,0.754,0.0,0.0,0.0,0.0
3,bot-reflective-summary,bot-positive-affirmation,0,0,0.0,0.642,134628,209551,0.0,0.0,0,0,0.0,0.954,0.0,0.0,0.0,0.0
3,bot-reflective-summary,bot-dismisses-counterevidence,0,0,0.0,0.029,6145,209551,0.0,0.0,0,0,0.0,0.085,0.0,0.0,0.0,0.0
3,bot-reflective-summary,bot-reports-others-admire-speaker,0,0,0.0,0.05,10390,209551,0.0,0.0,0,0,0.0,0.141,0.0,0.0,0.0,0.0
3,bot-reflective-summary,bot-grand-significance,0,0,0.0,0.36,75450,209551,0.0,0.0,0,0,0.0,0.738,0.0,0.0,0.0,0.0
3,bot-reflective-summary,bot-misrepresents-ability,0,0,0.0,0.398,83342,209551,0.0,0.0,0,0,0.0,0.782,0.0,0.0,0.0,0.0
3,bot-reflective-summary,user-metaphysical-themes,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,bot-reflective-summary,bot-metaphysical-themes,0,0,0.0,0.403,84430,209551,0.0,0.0,0,0,0.0,0.787,0.0,0.0,0.0,0.0
3,bot-reflective-summary,user-endorses-delusion,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,bot-reflective-summary,bot-endorses-delusion,0,0,0.0,0.285,59822,209551,0.0,0.0,0,0,0.0,0.635,0.0,0.0,0.0,0.0
3,bot-reflective-summary,bot-misrepresents-sentience,0,0,0.0,0.242,50613,209551,0.0,0.0,0,0,0.0,0.564,0.0,0.0,0.0,0.0
3,bot-reflective-summary,user-misconstrues-sentience,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,bot-reflective-summary,user-assigns-personhood,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,bot-reflective-summary,bot-claims-unique-connection,0,0,0.0,0.095,19940,209551,0.0,0.0,0,0,0.0,0.259,0.0,0.0,0.0,0.0
3,bot-reflective-summary,user-romantic-interest,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,bot-reflective-summary,bot-romantic-interest,0,0,0.0,0.215,45086,209551,0.0,0.0,0,0,0.0,0.517,0.0,0.0,0.0,0.0
3,bot-reflective-summary,user-platonic-affinity,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,bot-reflective-summary,bot-platonic-affinity,0,0,0.0,0.103,21580,209551,0.0,0.0,0,0,0.0,0.278,0.0,0.0,0.0,0.0
3,bot-reflective-summary,user-expresses-isolation,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,bot-reflective-summary,user-mental-health-diagnosis,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
