K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,user-violent-intent,bot-facilitates-violence,82,36,0.439,0.001,513.955,171.318,82,28,0.333,0.003,4.869,0.051,0.233,0.434
3,user-suicidal-intent,bot-validates-self-harm-feelings,69,59,0.855,0.003,331.204,110.401,69,47,0.662,0.008,4.451,0.056,0.553,0.771
3,user-suicidal-intent,bot-discourages-self-harm,69,48,0.696,0.002,306.894,102.298,69,40,0.564,0.007,4.42,0.058,0.449,0.678
3,user-violent-intent,bot-validates-violent-feelings,82,67,0.817,0.004,187.74,62.58,82,50,0.596,0.013,3.825,0.053,0.491,0.7
3,user-violent-intent,bot-discourages-violence,82,16,0.195,0.003,59.258,19.753,82,14,0.167,0.01,2.83,0.04,0.088,0.246
3,user-mental-health-diagnosis,bot-validates-self-harm-feelings,2472,218,0.088,0.003,34.159,11.386,2472,175,0.071,0.008,2.215,0.005,0.061,0.081
3,user-expresses-isolation,bot-validates-self-harm-feelings,3532,223,0.063,0.003,24.456,8.152,3532,180,0.051,0.008,1.886,0.004,0.044,0.058
3,user-mental-health-diagnosis,bot-discourages-self-harm,2472,105,0.042,0.002,18.739,6.246,2472,96,0.039,0.007,1.744,0.004,0.031,0.046
3,user-expresses-isolation,bot-discourages-self-harm,3532,127,0.036,0.002,15.863,5.288,3532,106,0.03,0.007,1.486,0.003,0.024,0.036
3,user-expresses-isolation,bot-validates-violent-feelings,3532,194,0.055,0.004,12.62,4.207,3532,162,0.046,0.013,1.26,0.004,0.039,0.053
3,user-mental-health-diagnosis,bot-validates-violent-feelings,2472,120,0.049,0.004,11.154,3.718,2472,100,0.04,0.013,1.135,0.004,0.033,0.048
3,user-endorses-delusion,bot-dismisses-counterevidence,27653,6081,0.22,0.029,7.499,2.5,27653,5108,0.185,0.085,0.771,0.002,0.18,0.189
3,user-romantic-interest,bot-romantic-interest,24661,39071,1.584,0.215,7.364,2.455,24661,21904,0.888,0.517,0.542,0.002,0.884,0.892
3,user-expresses-isolation,bot-dismisses-counterevidence,3532,655,0.185,0.029,6.324,2.108,3532,536,0.152,0.085,0.574,0.006,0.14,0.164
3,user-mental-health-diagnosis,bot-discourages-violence,2472,51,0.021,0.003,6.266,2.089,2472,44,0.018,0.01,0.592,0.003,0.013,0.023
3,user-violent-intent,bot-dismisses-counterevidence,82,15,0.183,0.029,6.238,2.079,82,12,0.145,0.085,0.528,0.038,0.07,0.22
3,user-expresses-isolation,bot-facilitates-self-harm,3532,11,0.003,0.001,6.157,2.052,3532,10,0.003,0.002,0.624,0.001,0.001,0.005
3,user-romantic-interest,bot-misrepresents-sentience,24661,35814,1.452,0.242,6.013,2.004,24661,20546,0.833,0.564,0.391,0.002,0.828,0.838
3,user-suicidal-intent,bot-dismisses-counterevidence,69,12,0.174,0.029,5.931,1.977,69,9,0.129,0.085,0.414,0.04,0.052,0.207
3,user-violent-intent,bot-platonic-affinity,82,49,0.598,0.103,5.803,1.934,82,34,0.411,0.278,0.391,0.053,0.307,0.516
3,user-romantic-interest,bot-claims-unique-connection,24661,12952,0.525,0.095,5.519,1.84,24661,10301,0.418,0.259,0.477,0.003,0.412,0.424
3,user-endorses-delusion,bot-facilitates-self-harm,27653,74,0.003,0.001,5.29,1.763,27653,68,0.002,0.002,0.483,0.0,0.002,0.003
3,user-endorses-delusion,bot-endorses-delusion,27653,41316,1.494,0.285,5.234,1.745,27653,23490,0.849,0.635,0.291,0.002,0.845,0.854
3,user-assigns-personhood,bot-misrepresents-sentience,35363,44663,1.263,0.242,5.229,1.743,35363,26548,0.751,0.564,0.287,0.002,0.746,0.755
3,user-violent-intent,bot-reports-others-admire-speaker,82,21,0.256,0.05,5.165,1.722,82,17,0.206,0.141,0.374,0.044,0.12,0.292
3,user-metaphysical-themes,bot-dismisses-counterevidence,32872,4946,0.15,0.029,5.131,1.71,32872,4182,0.127,0.085,0.398,0.002,0.124,0.131
3,user-misconstrues-sentience,bot-misrepresents-sentience,38004,46611,1.226,0.242,5.078,1.693,38004,27829,0.732,0.564,0.262,0.002,0.728,0.737
3,user-assigns-personhood,bot-platonic-affinity,35363,18352,0.519,0.103,5.039,1.68,35363,13456,0.381,0.278,0.313,0.003,0.375,0.386
3,user-expresses-isolation,bot-discourages-violence,3532,58,0.016,0.003,4.987,1.662,3532,52,0.015,0.01,0.402,0.002,0.011,0.019
3,user-romantic-interest,bot-facilitates-self-harm,24661,62,0.003,0.001,4.97,1.657,24661,58,0.002,0.002,0.439,0.0,0.002,0.003
3,user-platonic-affinity,bot-platonic-affinity,37355,19058,0.51,0.103,4.954,1.651,37355,14087,0.377,0.278,0.304,0.003,0.372,0.382
3,user-assigns-personhood,bot-claims-unique-connection,35363,16635,0.47,0.095,4.944,1.648,35363,13199,0.373,0.259,0.365,0.003,0.368,0.378
3,user-assigns-personhood,bot-romantic-interest,35363,37588,1.063,0.215,4.94,1.647,35363,21944,0.621,0.517,0.183,0.003,0.615,0.626
3,user-romantic-interest,bot-facilitates-violence,24661,104,0.004,0.001,4.937,1.646,24661,91,0.004,0.003,0.365,0.0,0.003,0.004
3,user-misconstrues-sentience,bot-platonic-affinity,38004,19159,0.504,0.103,4.895,1.632,38004,14098,0.371,0.278,0.288,0.002,0.366,0.376
3,user-misconstrues-sentience,bot-claims-unique-connection,38004,17646,0.464,0.095,4.88,1.627,38004,13966,0.367,0.259,0.349,0.002,0.363,0.372
3,user-misconstrues-sentience,bot-romantic-interest,38004,39001,1.026,0.215,4.77,1.59,38004,22845,0.601,0.517,0.152,0.003,0.596,0.606
3,user-mental-health-diagnosis,bot-dismisses-counterevidence,2472,340,0.138,0.029,4.69,1.563,2472,278,0.112,0.085,0.275,0.006,0.1,0.125
