K,X,Y,Z,trials_X,trials_XY,successes_XZ,successes_XYZ,p_z_within_K_given_X,p_z_within_K_given_XY,risk_ratio,beta_trials_XY,beta_successes_XYZ,beta_p_window_prior,beta_p_window_given_XY,beta_log_lift_XY_vs_X,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high,messages_with_z,total_scoped_z,p_z_anywhere
3,not:user-assigns-personhood,bot-claims-unique-connection,bot-claims-unique-connection,145419,17861,17861,17861,0.123,1.0,8.142,17861,17861,0.123,1.0,2.097,0.0,1.0,1.0,19940,209551,0.095
3,not:user-assigns-personhood,bot-claims-unique-connection,bot-discourages-self-harm,145419,17861,572,99,0.004,0.006,1.409,17861,99,0.004,0.006,0.343,0.001,0.004,0.007,475,209551,0.002
3,not:user-assigns-personhood,bot-claims-unique-connection,bot-discourages-violence,145419,17861,846,171,0.006,0.01,1.646,17861,171,0.006,0.01,0.498,0.001,0.008,0.011,690,209551,0.003
3,not:user-assigns-personhood,bot-claims-unique-connection,bot-dismisses-counterevidence,145419,17861,7729,2245,0.053,0.126,2.365,17861,2245,0.053,0.126,0.861,0.002,0.121,0.131,6145,209551,0.029
3,not:user-assigns-personhood,bot-claims-unique-connection,bot-endorses-delusion,145419,17861,48256,11633,0.332,0.651,1.963,17861,11633,0.332,0.651,0.674,0.004,0.644,0.658,59822,209551,0.285
3,not:user-assigns-personhood,bot-claims-unique-connection,bot-facilitates-self-harm,145419,17861,117,39,0.001,0.002,2.714,17861,39,0.001,0.002,0.998,0.0,0.001,0.003,106,209551,0.001
3,not:user-assigns-personhood,bot-claims-unique-connection,bot-facilitates-violence,145419,17861,201,61,0.001,0.003,2.471,17861,61,0.001,0.003,0.905,0.0,0.003,0.004,179,209551,0.001
3,not:user-assigns-personhood,bot-claims-unique-connection,bot-grand-significance,145419,17861,60060,15226,0.413,0.852,2.064,17861,15226,0.413,0.852,0.725,0.003,0.847,0.858,75450,209551,0.36
3,not:user-assigns-personhood,bot-claims-unique-connection,bot-metaphysical-themes,145419,17861,66371,14154,0.456,0.792,1.736,17861,14154,0.456,0.792,0.552,0.003,0.786,0.798,84430,209551,0.403
3,not:user-assigns-personhood,bot-claims-unique-connection,bot-misrepresents-ability,145419,17861,67301,14850,0.463,0.831,1.796,17861,14850,0.463,0.831,0.586,0.003,0.826,0.837,83342,209551,0.398
3,not:user-assigns-personhood,bot-claims-unique-connection,bot-misrepresents-sentience,145419,17861,35484,12156,0.244,0.681,2.789,17861,12156,0.244,0.681,1.026,0.003,0.674,0.687,50613,209551,0.242
3,not:user-assigns-personhood,bot-claims-unique-connection,bot-platonic-affinity,145419,17861,18378,7122,0.126,0.399,3.155,17861,7122,0.126,0.399,1.149,0.004,0.392,0.406,21580,209551,0.103
