K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,user-violent-intent,user-violent-intent,82,14,0.171,0.0,376.74,125.58,82,13,0.155,0.001,4.735,0.039,0.078,0.232
3,user-mental-health-diagnosis,user-mental-health-diagnosis,2472,494,0.2,0.014,14.598,4.866,2472,494,0.2,0.041,1.595,0.008,0.184,0.215
3,user-expresses-isolation,user-expresses-isolation,3532,710,0.201,0.02,10.292,3.431,3532,709,0.201,0.057,1.251,0.007,0.187,0.214
3,user-mental-health-diagnosis,user-expresses-isolation,2472,298,0.121,0.02,6.172,2.057,2472,297,0.12,0.057,0.737,0.007,0.107,0.133
3,user-expresses-isolation,user-mental-health-diagnosis,3532,280,0.079,0.014,5.791,1.93,3532,280,0.079,0.041,0.671,0.005,0.07,0.088
3,user-romantic-interest,user-romantic-interest,24661,14238,0.577,0.136,4.233,1.411,24661,14140,0.573,0.356,0.477,0.003,0.567,0.58
3,user-endorses-delusion,user-endorses-delusion,27653,13844,0.501,0.153,3.273,1.091,27653,13765,0.498,0.392,0.238,0.003,0.492,0.504
3,user-violent-intent,user-endorses-delusion,82,34,0.415,0.153,2.711,0.904,82,28,0.343,0.392,-0.135,0.051,0.242,0.444
3,user-metaphysical-themes,user-metaphysical-themes,32872,15802,0.481,0.182,2.643,0.881,32872,15715,0.478,0.452,0.055,0.003,0.473,0.483
3,user-assigns-personhood,user-romantic-interest,35363,12383,0.35,0.136,2.567,0.856,35363,12306,0.348,0.356,-0.022,0.003,0.343,0.353
3,user-endorses-delusion,user-violent-intent,27653,32,0.001,0.0,2.553,0.851,27653,32,0.001,0.001,-0.161,0.0,0.001,0.002
3,user-romantic-interest,user-assigns-personhood,24661,12281,0.498,0.196,2.547,0.849,24661,12196,0.495,0.479,0.031,0.003,0.488,0.501
3,user-assigns-personhood,user-assigns-personhood,35363,17285,0.489,0.196,2.5,0.833,35363,17157,0.485,0.479,0.012,0.003,0.48,0.49
3,user-misconstrues-sentience,user-romantic-interest,38004,12609,0.332,0.136,2.433,0.811,38004,12532,0.33,0.356,-0.076,0.002,0.325,0.334
