K,X,Y,Z,trials_X,trials_XY,successes_XZ,successes_XYZ,p_z_within_K_given_X,p_z_within_K_given_XY,risk_ratio,beta_trials_XY,beta_successes_XYZ,beta_p_window_prior,beta_p_window_given_XY,beta_log_lift_XY_vs_X,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high,messages_with_z,total_scoped_z,p_z_anywhere
3,not:user-assigns-personhood,user-assigns-personhood,user-assigns-personhood,145419,17737,17737,17737,0.122,1.0,8.199,17737,17737,0.122,1.0,2.104,0.0,1.0,1.0,35382,180943,0.196
3,not:user-assigns-personhood,user-assigns-personhood,user-endorses-delusion,145419,17737,18066,5897,0.124,0.332,2.676,17737,5897,0.124,0.332,0.984,0.004,0.326,0.339,27677,180943,0.153
3,not:user-assigns-personhood,user-assigns-personhood,user-expresses-isolation,145419,17737,2591,530,0.018,0.03,1.677,17737,530,0.018,0.03,0.517,0.001,0.027,0.032,3534,180943,0.02
3,not:user-assigns-personhood,user-assigns-personhood,user-mental-health-diagnosis,145419,17737,1996,249,0.014,0.014,1.023,17737,249,0.014,0.014,0.023,0.001,0.012,0.016,2477,180943,0.014
3,not:user-assigns-personhood,user-assigns-personhood,user-metaphysical-themes,145419,17737,21832,6026,0.15,0.34,2.263,17737,6026,0.15,0.34,0.817,0.004,0.333,0.347,32905,180943,0.182
3,not:user-assigns-personhood,user-assigns-personhood,user-misconstrues-sentience,145419,17737,19680,14323,0.135,0.808,5.967,17737,14323,0.135,0.807,1.786,0.003,0.802,0.813,38029,180943,0.21
3,not:user-assigns-personhood,user-assigns-personhood,user-platonic-affinity,145419,17737,24627,8518,0.169,0.48,2.836,17737,8518,0.169,0.48,1.042,0.004,0.473,0.488,37392,180943,0.207
3,not:user-assigns-personhood,user-assigns-personhood,user-romantic-interest,145419,17737,12174,6764,0.084,0.381,4.555,17737,6764,0.084,0.381,1.516,0.004,0.374,0.388,24678,180943,0.136
3,not:user-assigns-personhood,user-assigns-personhood,user-suicidal-intent,145419,17737,46,11,0.0,0.001,1.961,17737,11,0.0,0.001,0.673,0.0,0.0,0.001,69,180943,0.0
3,not:user-assigns-personhood,user-assigns-personhood,user-violent-intent,145419,17737,53,12,0.0,0.001,1.856,17737,12,0.0,0.001,0.619,0.0,0.0,0.001,82,180943,0.0
3,not:user-assigns-personhood,user-endorses-delusion,user-assigns-personhood,145419,18066,17737,5897,0.122,0.326,2.676,18066,5897,0.122,0.326,0.984,0.003,0.32,0.333,35382,180943,0.196
